"","Item","CD","Freq","PairsPerTrial","Cond","file","Correct"
"108",18,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.606060606060606
"109",1,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.75
"110",2,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"111",3,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.55
"112",4,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"113",5,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"114",6,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.625
"115",7,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.85
"116",8,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.55
"117",9,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.325
"118",10,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.475
"119",11,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.65
"120",12,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.525
"121",13,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.7
"122",14,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.875
"123",15,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.675
"124",16,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.8
"125",17,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.65
"126",18,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.7
"127",1,6,6,3,"Varied CD","cont_div6-12",0.403225806451613
"128",2,6,6,3,"Varied CD","cont_div6-12",0.419354838709677
"129",3,6,6,3,"Varied CD","cont_div6-12",0.306451612903226
"130",4,6,6,3,"Varied CD","cont_div6-12",0.32258064516129
"131",5,6,6,3,"Varied CD","cont_div6-12",0.338709677419355
"132",6,6,6,3,"Varied CD","cont_div6-12",0.258064516129032
"133",7,12,6,3,"Varied CD","cont_div6-12",0.548387096774194
"134",8,12,6,3,"Varied CD","cont_div6-12",0.645161290322581
"135",9,12,6,3,"Varied CD","cont_div6-12",0.483870967741935
"136",10,12,6,3,"Varied CD","cont_div6-12",0.532258064516129
"137",11,12,6,3,"Varied CD","cont_div6-12",0.354838709677419
"138",12,12,6,3,"Varied CD","cont_div6-12",0.387096774193548
"139",13,12,6,3,"Varied CD","cont_div6-12",0.419354838709677
"140",14,12,6,3,"Varied CD","cont_div6-12",0.516129032258065
"141",15,12,6,3,"Varied CD","cont_div6-12",0.612903225806452
"142",16,12,6,3,"Varied CD","cont_div6-12",0.370967741935484
"143",17,12,6,3,"Varied CD","cont_div6-12",0.564516129032258
"144",18,12,6,3,"Varied CD","cont_div6-12",0.338709677419355
"145",1,18,6,3,"3x3","orig_3x3",0.555555555555556
"146",2,18,6,3,"3x3","orig_3x3",0.472222222222222
"147",3,18,6,3,"3x3","orig_3x3",0.416666666666667
"148",4,18,6,3,"3x3","orig_3x3",0.5
"149",5,18,6,3,"3x3","orig_3x3",0.472222222222222
"150",6,18,6,3,"3x3","orig_3x3",0.305555555555556
"151",7,18,6,3,"3x3","orig_3x3",0.305555555555556
"152",8,18,6,3,"3x3","orig_3x3",0.444444444444444
"153",9,18,6,3,"3x3","orig_3x3",0.333333333333333
"154",10,18,6,3,"3x3","orig_3x3",0.277777777777778
"155",11,18,6,3,"3x3","orig_3x3",0.5
"156",12,18,6,3,"3x3","orig_3x3",0.472222222222222
"157",13,18,6,3,"3x3","orig_3x3",0.416666666666667
"158",14,18,6,3,"3x3","orig_3x3",0.472222222222222
"159",15,18,6,3,"3x3","orig_3x3",0.5
"160",16,18,6,3,"3x3","orig_3x3",0.472222222222222
"161",17,18,6,3,"3x3","orig_3x3",0.361111111111111
"162",18,18,6,3,"3x3","orig_3x3",0.388888888888889
"163",1,18,6,4,"4x4","orig_4x4",0.381578947368421
"164",2,18,6,4,"4x4","orig_4x4",0.276315789473684
"165",3,18,6,4,"4x4","orig_4x4",0.289473684210526
"166",4,18,6,4,"4x4","orig_4x4",0.342105263157895
"167",5,18,6,4,"4x4","orig_4x4",0.342105263157895
"168",6,18,6,4,"4x4","orig_4x4",0.289473684210526
"169",7,18,6,4,"4x4","orig_4x4",0.276315789473684
"170",8,18,6,4,"4x4","orig_4x4",0.355263157894737
"171",9,18,6,4,"4x4","orig_4x4",0.25
"172",10,18,6,4,"4x4","orig_4x4",0.289473684210526
"173",11,18,6,4,"4x4","orig_4x4",0.539473684210526
"174",12,18,6,4,"4x4","orig_4x4",0.263157894736842
"175",13,18,6,4,"4x4","orig_4x4",0.276315789473684
"176",14,18,6,4,"4x4","orig_4x4",0.342105263157895
"177",15,18,6,4,"4x4","orig_4x4",0.289473684210526
"178",16,18,6,4,"4x4","orig_4x4",0.328947368421053
"179",17,18,6,4,"4x4","orig_4x4",0.289473684210526
"180",18,18,6,4,"4x4","orig_4x4",0.263157894736842
